rank,lon,lat,electrification_prob,local_suitability_score,region_mean_electrification_prob,served_population,est_households,daily_demand_kwh,solar_pv_kw,battery_kwh,topology,capex_usd
71,36.90750000000149,2.0824999999998552,0.2357984483242035,0.6700370204551267,0.1027046740055084,647.0690441131592,144,21.599999999999998,5.236363636363635,40.49999999999999,AC three-phase mini-grid,720000
72,37.497500000001786,-2.732500000000042,0.259990394115448,0.5598824038805935,0.1027252376079559,1443.890058517456,321,48.15,11.672727272727272,90.28124999999999,AC three-phase mini-grid,1605000
73,35.50750000000077,2.0324999999998563,0.0690158307552337,0.6864914768738168,0.1028806790709495,772.1973309516907,172,25.8,6.254545454545455,48.375,AC three-phase mini-grid,860000
74,35.5775000000008,1.0724999999998768,0.2936231791973114,0.6921583148699391,0.1031282171607017,5064.794815063477,1126,168.9,40.945454545454545,316.6875,AC three-phase mini-grid,5630000
75,39.95750000000304,3.3824999999998275,0.23426353931427,0.5551275796606647,0.1049663573503494,2248.5645751953125,500,75.0,18.181818181818183,140.625,AC three-phase mini-grid,2500000
76,38.082500000002085,-0.5025000000000897,0.2390662729740142,0.6339129901495879,0.105311207473278,1166.5493450164795,259,38.85,9.418181818181818,72.84375,AC three-phase mini-grid,1295000
77,39.6825000000029,2.5824999999998446,0.2069597989320755,0.7676250873915764,0.1066399067640304,673.2705097198486,150,22.5,5.454545454545454,42.1875,AC three-phase mini-grid,750000
78,35.05750000000054,2.0324999999998563,0.3206216692924499,0.6381938419400913,0.1071005687117576,839.6367883682251,187,28.05,6.8,52.59375,AC three-phase mini-grid,935000
79,40.92750000000354,2.79749999999984,0.3272149264812469,0.4769651913245076,0.1072418689727783,45791.148376464844,10176,1526.3999999999999,370.0363636363636,2861.9999999999995,AC three-phase mini-grid,50880000
80,40.01750000000308,1.7374999999998626,0.302019327878952,0.5235898846766093,0.1081365421414375,9065.541961669922,2015,302.25,73.27272727272727,566.71875,AC three-phase mini-grid,10075000
